pH,Ammonia,Temp,Turbidity,pH_Status,Ammonia_Status,Temp_Status,Turbidity_Status,Water Pump,Heater
5.4,0.051,29.23,41.0,Low,Low,High,Low,ON,OFF
6.0,0.048,29.13,32.7,Low,High,High,Low,ON,OFF
5.1,0.153,28.54,42.9,Low,Low,High,Low,ON,OFF
5.4,0.129,28.44,44.9,Low,Low,High,Low,ON,OFF
5.1,0.02,28.37,42.3,Low,High,High,Low,ON,OFF
5.0,0.064,28.31,42.5,Low,Low,High,Low,ON,OFF
5.2,0.103,28.3,28.6,Low,Low,High,Low,ON,OFF
5.0,0.125,28.26,45.1,Low,Low,High,Low,ON,OFF
5.3,0.064,28.05,18.0,Low,Low,High,High,ON,OFF
5.9,0.17,27.95,19.1,Low,Low,High,High,ON,OFF
5.1,0.109,27.91,26.0,Low,Low,High,Low,ON,OFF
5.9,0.029,27.81,27.6,Low,High,High,Low,ON,OFF
5.5,0.1,27.72,21.7,Low,Low,High,Low,ON,OFF
5.5,0.168,27.6,32.0,Low,Low,High,Low,ON,OFF
6.0,0.088,27.51,23.9,Low,Low,High,Low,ON,OFF
5.0,0.143,27.49,28.9,Low,Low,High,Low,ON,OFF
5.5,0.145,27.4,29.8,Low,Low,High,Low,ON,OFF
5.5,0.073,27.18,21.2,Low,Low,High,Low,ON,OFF
5.8,0.034,27.94,32.4,Low,High,High,Low,ON,OFF
5.5,0.082,28.34,32.9,Low,Low,High,Low,ON,OFF
5.6,0.092,28.53,41.1,Low,Low,High,Low,ON,OFF
5.9,0.159,28.54,23.0,Low,Low,High,Low,ON,OFF
5.2,0.139,29.06,40.1,Low,Low,High,Low,ON,OFF
5.5,0.047,29.06,29.4,Low,High,High,Low,ON,OFF
5.1,0.129,29.13,30.0,Low,Low,High,Low,ON,OFF
5.1,0.062,29.26,37.8,Low,Low,High,Low,ON,OFF
5.0,0.157,29.58,37.0,Low,Low,High,Low,ON,OFF
5.3,0.15,29.67,25.6,Low,Low,High,Low,ON,OFF
5.3,0.025,29.98,26.4,Low,High,High,Low,ON,OFF
5.7,0.047,30.03,27.1,Low,High,High,Low,ON,OFF
5.8,0.117,30.2,36.9,Low,Low,High,Low,ON,OFF
5.7,0.07,30.47,26.0,Low,Low,High,Low,ON,OFF
5.3,0.046,30.77,23.6,Low,High,High,Low,ON,OFF
5.9,0.121,30.8,26.4,Low,Low,High,Low,ON,OFF
5.6,0.141,30.93,20.5,Low,Low,High,Low,ON,OFF
5.0,0.165,30.93,44.9,Low,Low,High,Low,ON,OFF
5.4,0.118,31.32,24.2,Low,Low,High,Low,ON,OFF
5.6,0.027,31.4,45.2,Low,High,High,Low,ON,OFF
5.1,0.103,31.41,31.5,Low,Low,High,Low,ON,OFF
5.9,0.081,31.42,24.9,Low,Low,High,Low,ON,OFF
5.7,0.131,31.56,19.3,Low,Low,High,High,ON,OFF
5.6,0.111,31.57,21.9,Low,Low,High,Low,ON,OFF
5.0,0.122,31.7,28.0,Low,Low,High,Low,ON,OFF
5.6,0.071,31.76,41.3,Low,Low,High,Low,ON,OFF
5.7,0.039,31.72,22.6,Low,High,High,Low,ON,OFF
5.1,0.152,31.71,29.8,Low,Low,High,Low,ON,OFF
5.5,0.047,31.7,36.5,Low,High,High,Low,ON,OFF
5.0,0.128,31.62,31.4,Low,Low,High,Low,ON,OFF
5.8,0.051,31.61,44.0,Low,Low,High,Low,ON,OFF
5.7,0.09,31.52,41.1,Low,Low,High,Low,ON,OFF
5.9,0.162,31.24,43.4,Low,Low,High,Low,ON,OFF
6.0,0.152,31.06,38.6,Low,Low,High,Low,ON,OFF
5.2,0.082,31.0,22.7,Low,Low,High,Low,ON,OFF
5.5,0.14,30.92,32.2,Low,Low,High,Low,ON,OFF
5.1,0.073,30.81,24.4,Low,Low,High,Low,ON,OFF
5.4,0.041,30.51,17.9,Low,High,High,High,OFF,OFF
5.8,0.038,30.34,21.3,Low,High,High,Low,ON,OFF
5.5,0.096,30.32,32.2,Low,Low,High,Low,ON,OFF
5.4,0.048,30.19,28.0,Low,High,High,Low,ON,OFF
5.6,0.104,30.19,37.3,Low,Low,High,Low,ON,OFF
5.6,0.093,30.06,24.0,Low,Low,High,Low,ON,OFF
6.0,0.144,30.03,36.0,Low,Low,High,Low,ON,OFF
5.8,0.117,29.47,18.7,Low,Low,High,High,ON,OFF
5.4,0.077,29.47,19.4,Low,Low,High,High,ON,OFF
5.0,0.151,29.42,23.4,Low,Low,High,Low,ON,OFF
5.2,0.147,29.34,38.1,Low,Low,High,Low,ON,OFF
5.3,0.153,29.27,36.9,Low,Low,High,Low,ON,OFF
5.6,0.031,29.09,29.8,Low,High,High,Low,ON,OFF
5.2,0.037,29.03,38.8,Low,High,High,Low,ON,OFF
5.9,0.151,28.99,44.2,Low,Low,High,Low,ON,OFF
6.0,0.024,28.91,25.6,Low,High,High,Low,ON,OFF
5.4,0.022,28.77,26.2,Low,High,High,Low,ON,OFF
5.2,0.025,28.69,42.6,Low,High,High,Low,ON,OFF
5.8,0.107,28.64,32.1,Low,Low,High,Low,ON,OFF
5.0,0.075,29.09,32.9,Low,Low,High,Low,ON,OFF
5.8,0.053,29.07,45.0,Low,Low,High,Low,ON,OFF
5.8,0.132,29.02,34.4,Low,Low,High,Low,ON,OFF
5.0,0.134,28.92,29.7,Low,Low,High,Low,ON,OFF
5.2,0.064,28.57,30.6,Low,Low,High,Low,ON,OFF
5.8,0.086,28.57,21.7,Low,Low,High,Low,ON,OFF
6.0,0.096,28.34,20.8,Low,Low,High,Low,ON,OFF
5.7,0.029,28.28,42.6,Low,High,High,Low,ON,OFF
5.2,0.068,28.18,26.2,Low,Low,High,Low,ON,OFF
5.1,0.022,28.18,24.5,Low,High,High,Low,ON,OFF
5.4,0.149,28.1,24.5,Low,Low,High,Low,ON,OFF
5.4,0.104,28.09,41.2,Low,Low,High,Low,ON,OFF
5.0,0.135,28.07,27.0,Low,Low,High,Low,ON,OFF
5.7,0.06,28.06,30.3,Low,Low,High,Low,ON,OFF
5.2,0.138,28.05,40.1,Low,Low,High,Low,ON,OFF
5.8,0.02,28.02,39.6,Low,High,High,Low,ON,OFF
6.0,0.088,28.01,35.1,Low,Low,High,Low,ON,OFF
5.8,0.039,28.14,37.1,Low,High,High,Low,ON,OFF
5.0,0.133,28.17,17.7,Low,Low,High,High,ON,OFF
5.2,0.1,28.25,36.2,Low,Low,High,Low,ON,OFF
5.9,0.112,28.65,26.4,Low,Low,High,Low,ON,OFF
5.2,0.137,28.71,22.3,Low,Low,High,Low,ON,OFF
5.7,0.139,28.79,27.2,Low,Low,High,Low,ON,OFF
5.1,0.131,28.8,23.3,Low,Low,High,Low,ON,OFF
5.2,0.104,28.84,38.8,Low,Low,High,Low,ON,OFF
5.6,0.133,28.89,43.4,Low,Low,High,Low,ON,OFF
5.4,0.077,28.99,36.5,Low,Low,High,Low,ON,OFF
5.8,0.11,29.11,28.8,Low,Low,High,Low,ON,OFF
5.5,0.164,29.32,44.0,Low,Low,High,Low,ON,OFF
5.7,0.101,29.36,38.7,Low,Low,High,Low,ON,OFF
5.3,0.067,30.05,30.0,Low,Low,High,Low,ON,OFF
5.1,0.042,30.16,19.0,Low,High,High,High,OFF,OFF
5.4,0.07,30.28,40.7,Low,Low,High,Low,ON,OFF
5.5,0.097,30.43,17.5,Low,Low,High,High,ON,OFF
5.7,0.16,30.47,39.6,Low,Low,High,Low,ON,OFF
5.1,0.122,30.76,19.2,Low,Low,High,High,ON,OFF
5.8,0.12,31.02,22.2,Low,Low,High,Low,ON,OFF
5.4,0.165,31.39,18.6,Low,Low,High,High,ON,OFF
5.5,0.026,31.73,22.3,Low,High,High,Low,ON,OFF
5.2,0.076,31.8,26.9,Low,Low,High,Low,ON,OFF
5.3,0.149,31.95,29.0,Low,Low,High,Low,ON,OFF
5.4,0.13,31.97,19.6,Low,Low,High,High,ON,OFF
5.7,0.042,31.86,44.7,Low,High,High,Low,ON,OFF
6.0,0.117,31.83,36.5,Low,Low,High,Low,ON,OFF
5.0,0.038,31.76,21.3,Low,High,High,Low,ON,OFF
5.5,0.03,31.47,32.8,Low,High,High,Low,ON,OFF
5.5,0.087,31.37,30.9,Low,Low,High,Low,ON,OFF
5.3,0.027,31.34,24.2,Low,High,High,Low,ON,OFF
5.4,0.041,31.3,40.7,Low,High,High,Low,ON,OFF
5.7,0.085,31.26,34.3,Low,Low,High,Low,ON,OFF
5.6,0.045,31.2,20.3,Low,High,High,Low,ON,OFF
5.0,0.144,31.17,31.4,Low,Low,High,Low,ON,OFF
6.0,0.057,30.96,26.1,Low,Low,High,Low,ON,OFF
5.2,0.04,30.93,17.6,Low,High,High,High,OFF,OFF
5.4,0.086,30.88,19.0,Low,Low,High,High,ON,OFF
5.6,0.116,30.52,44.0,Low,Low,High,Low,ON,OFF
5.9,0.025,30.37,42.4,Low,High,High,Low,ON,OFF
5.0,0.112,30.35,30.5,Low,Low,High,Low,ON,OFF
5.4,0.02,30.24,21.5,Low,High,High,Low,ON,OFF
5.2,0.095,30.23,18.9,Low,Low,High,High,ON,OFF
5.4,0.17,30.11,41.9,Low,Low,High,Low,ON,OFF
5.8,0.127,30.07,20.2,Low,Low,High,Low,ON,OFF
5.2,0.128,30.06,21.5,Low,Low,High,Low,ON,OFF
6.0,0.088,29.89,35.9,Low,Low,High,Low,ON,OFF
5.8,0.032,29.82,29.6,Low,High,High,Low,ON,OFF
5.1,0.028,29.48,43.7,Low,High,High,Low,ON,OFF
6.0,0.062,29.46,24.3,Low,Low,High,Low,ON,OFF
5.2,0.074,29.43,38.6,Low,Low,High,Low,ON,OFF
5.5,0.037,29.28,22.6,Low,High,High,Low,ON,OFF
5.7,0.021,29.25,38.9,Low,High,High,Low,ON,OFF
5.9,0.11,29.24,38.2,Low,Low,High,Low,ON,OFF
5.8,0.051,29.12,39.6,Low,Low,High,Low,ON,OFF
5.9,0.036,29.57,33.3,Low,High,High,Low,ON,OFF
5.9,0.111,29.57,40.8,Low,Low,High,Low,ON,OFF
5.6,0.139,29.34,23.6,Low,Low,High,Low,ON,OFF
6.0,0.155,29.27,42.6,Low,Low,High,Low,ON,OFF
5.4,0.13,29.24,21.7,Low,Low,High,Low,ON,OFF
5.4,0.098,29.23,35.2,Low,Low,High,Low,ON,OFF
5.3,0.098,29.2,37.9,Low,Low,High,Low,ON,OFF
5.6,0.083,29.17,23.1,Low,Low,High,Low,ON,OFF
5.4,0.077,29.16,43.9,Low,Low,High,Low,ON,OFF
6.0,0.131,28.99,35.1,Low,Low,High,Low,ON,OFF
5.9,0.032,28.76,31.1,Low,High,High,Low,ON,OFF
5.5,0.059,28.71,31.4,Low,Low,High,Low,ON,OFF
6.0,0.135,28.29,42.3,Low,Low,High,Low,ON,OFF
5.7,0.058,28.26,43.9,Low,Low,High,Low,ON,OFF
5.3,0.136,28.24,19.4,Low,Low,High,High,ON,OFF
5.1,0.156,28.21,34.4,Low,Low,High,Low,ON,OFF
5.7,0.084,28.41,20.0,Low,Low,High,High,ON,OFF
5.2,0.097,28.7,28.4,Low,Low,High,Low,ON,OFF
5.0,0.019,28.74,33.5,Low,High,High,Low,ON,OFF
5.7,0.121,28.79,26.3,Low,Low,High,Low,ON,OFF
5.7,0.162,29.51,20.5,Low,Low,High,Low,ON,OFF
5.2,0.16,29.82,33.7,Low,Low,High,Low,ON,OFF
5.1,0.161,29.93,43.0,Low,Low,High,Low,ON,OFF
5.5,0.074,29.96,30.2,Low,Low,High,Low,ON,OFF
5.8,0.062,29.96,30.5,Low,Low,High,Low,ON,OFF
5.8,0.152,30.04,29.4,Low,Low,High,Low,ON,OFF
5.5,0.131,30.21,18.5,Low,Low,High,High,ON,OFF
5.4,0.036,30.21,19.3,Low,High,High,High,OFF,OFF
5.8,0.126,30.24,42.5,Low,Low,High,Low,ON,OFF
5.5,0.14,30.29,26.7,Low,Low,High,Low,ON,OFF
5.9,0.043,30.51,40.9,Low,High,High,Low,ON,OFF
5.8,0.057,30.7,38.1,Low,Low,High,Low,ON,OFF
6.0,0.13,30.87,21.1,Low,Low,High,Low,ON,OFF
5.1,0.092,31.07,20.4,Low,Low,High,Low,ON,OFF
5.3,0.072,31.14,35.0,Low,Low,High,Low,ON,OFF
6.0,0.105,31.31,26.0,Low,Low,High,Low,ON,OFF
5.8,0.166,31.41,29.4,Low,Low,High,Low,ON,OFF
5.6,0.053,31.55,22.3,Low,Low,High,Low,ON,OFF
5.4,0.105,31.65,31.9,Low,Low,High,Low,ON,OFF
5.4,0.138,32.06,40.4,Low,Low,High,Low,ON,OFF
5.2,0.063,32.21,22.6,Low,Low,High,Low,ON,OFF
5.3,0.101,32.76,41.0,Low,Low,High,Low,ON,OFF
5.5,0.092,32.9,40.7,Low,Low,High,Low,ON,OFF
5.3,0.141,32.83,44.0,Low,Low,High,Low,ON,OFF
6.0,0.15,32.73,21.3,Low,Low,High,Low,ON,OFF
5.1,0.119,32.54,33.8,Low,Low,High,Low,ON,OFF
5.7,0.105,32.48,25.4,Low,Low,High,Low,ON,OFF
5.2,0.039,32.46,21.1,Low,High,High,Low,ON,OFF
5.8,0.111,32.42,37.0,Low,Low,High,Low,ON,OFF
5.4,0.083,32.24,37.7,Low,Low,High,Low,ON,OFF
5.0,0.131,31.97,42.3,Low,Low,High,Low,ON,OFF
5.8,0.119,31.77,37.5,Low,Low,High,Low,ON,OFF
5.0,0.161,31.77,43.2,Low,Low,High,Low,ON,OFF
5.7,0.1,31.77,23.5,Low,Low,High,Low,ON,OFF
6.0,0.028,31.67,33.2,Low,High,High,Low,ON,OFF
6.0,0.074,31.61,38.7,Low,Low,High,Low,ON,OFF
5.2,0.101,31.58,33.9,Low,Low,High,Low,ON,OFF
5.0,0.154,31.31,24.1,Low,Low,High,Low,ON,OFF
6.0,0.088,31.16,19.3,Low,Low,High,High,ON,OFF
5.7,0.104,31.1,40.6,Low,Low,High,Low,ON,OFF
5.4,0.097,30.9,41.6,Low,Low,High,Low,ON,OFF
5.1,0.048,30.9,34.1,Low,High,High,Low,ON,OFF
5.9,0.152,30.67,26.4,Low,Low,High,Low,ON,OFF
5.9,0.169,30.53,25.2,Low,Low,High,Low,ON,OFF
5.4,0.023,30.4,20.6,Low,High,High,Low,ON,OFF
5.0,0.045,30.24,24.5,Low,High,High,Low,ON,OFF
5.2,0.051,30.12,44.9,Low,Low,High,Low,ON,OFF
5.9,0.095,29.98,42.5,Low,Low,High,Low,ON,OFF
5.2,0.113,29.76,27.4,Low,Low,High,Low,ON,OFF
5.1,0.066,29.65,18.1,Low,Low,High,High,ON,OFF
5.4,0.032,29.64,31.0,Low,High,High,Low,ON,OFF
5.1,0.06,29.63,25.6,Low,Low,High,Low,ON,OFF
5.1,0.146,29.82,44.8,Low,Low,High,Low,ON,OFF
5.1,0.143,29.81,30.6,Low,Low,High,Low,ON,OFF
5.5,0.021,29.58,27.5,Low,High,High,Low,ON,OFF
5.7,0.081,29.57,37.9,Low,Low,High,Low,ON,OFF
5.3,0.163,29.51,27.8,Low,Low,High,Low,ON,OFF
5.4,0.04,29.5,39.4,Low,High,High,Low,ON,OFF
5.5,0.141,29.28,23.8,Low,Low,High,Low,ON,OFF
5.5,0.043,29.09,43.6,Low,High,High,Low,ON,OFF
5.8,0.034,29.02,37.2,Low,High,High,Low,ON,OFF
5.3,0.114,28.89,39.7,Low,Low,High,Low,ON,OFF
5.6,0.06,28.7,35.2,Low,Low,High,Low,ON,OFF
5.0,0.035,28.65,20.7,Low,High,High,Low,ON,OFF
5.3,0.133,28.44,30.9,Low,Low,High,Low,ON,OFF
6.0,0.138,28.37,35.0,Low,Low,High,Low,ON,OFF
6.1,0.106,28.15,35.8,Low,Low,High,Low,ON,OFF
5.1,0.102,28.07,19.4,Low,Low,High,High,ON,OFF
6.0,0.096,28.01,17.7,Low,Low,High,High,ON,OFF
5.1,0.141,28.22,28.7,Low,Low,High,Low,ON,OFF
5.6,0.151,29.0,28.5,Low,Low,High,Low,ON,OFF
5.9,0.114,29.01,23.7,Low,Low,High,Low,ON,OFF
5.1,0.127,29.02,17.7,Low,Low,High,High,ON,OFF
5.1,0.023,29.1,34.7,Low,High,High,Low,ON,OFF
5.7,0.08,29.11,24.0,Low,Low,High,Low,ON,OFF
5.8,0.106,29.11,20.0,Low,Low,High,High,ON,OFF
5.5,0.168,29.35,33.0,Low,Low,High,Low,ON,OFF
5.9,0.038,29.4,43.0,Low,High,High,Low,ON,OFF
5.6,0.16,29.63,41.8,Low,Low,High,Low,ON,OFF
5.2,0.027,29.69,33.4,Low,High,High,Low,ON,OFF
5.9,0.14,29.69,41.8,Low,Low,High,Low,ON,OFF
5.5,0.077,29.86,18.6,Low,Low,High,High,ON,OFF
5.3,0.076,30.13,40.9,Low,Low,High,Low,ON,OFF
5.1,0.109,30.3,44.6,Low,Low,High,Low,ON,OFF
5.8,0.038,30.43,31.2,Low,High,High,Low,ON,OFF
5.1,0.148,30.91,39.6,Low,Low,High,Low,ON,OFF
5.5,0.165,31.06,28.1,Low,Low,High,Low,ON,OFF
5.8,0.024,31.27,18.8,Low,High,High,High,OFF,OFF
6.0,0.129,31.4,26.7,Low,Low,High,Low,ON,OFF
5.4,0.153,31.93,17.8,Low,Low,High,High,ON,OFF
5.2,0.148,31.93,42.0,Low,Low,High,Low,ON,OFF
5.9,0.106,32.05,43.3,Low,Low,High,Low,ON,OFF
5.3,0.084,32.97,19.7,Low,Low,High,High,ON,OFF
5.1,0.112,32.67,19.3,Low,Low,High,High,ON,OFF
5.2,0.041,32.66,44.3,Low,High,High,Low,ON,OFF
5.0,0.042,32.61,29.6,Low,High,High,Low,ON,OFF
5.1,0.064,32.58,34.7,Low,Low,High,Low,ON,OFF
5.6,0.136,32.35,33.7,Low,Low,High,Low,ON,OFF
5.8,0.152,32.32,30.0,Low,Low,High,Low,ON,OFF
5.4,0.104,32.3,26.9,Low,Low,High,Low,ON,OFF
5.8,0.141,32.24,26.4,Low,Low,High,Low,ON,OFF
5.0,0.08,32.11,31.6,Low,Low,High,Low,ON,OFF
5.6,0.149,31.71,29.7,Low,Low,High,Low,ON,OFF
5.2,0.047,31.7,43.6,Low,High,High,Low,ON,OFF
5.1,0.038,31.62,26.4,Low,High,High,Low,ON,OFF
5.5,0.058,31.53,34.0,Low,Low,High,Low,ON,OFF
5.4,0.079,31.5,29.7,Low,Low,High,Low,ON,OFF
5.5,0.098,31.44,27.7,Low,Low,High,Low,ON,OFF
5.7,0.061,31.24,41.5,Low,Low,High,Low,ON,OFF
6.0,0.158,31.13,20.5,Low,Low,High,Low,ON,OFF
5.2,0.028,30.91,23.4,Low,High,High,Low,ON,OFF
5.8,0.115,30.62,17.5,Low,Low,High,High,ON,OFF
5.3,0.124,30.56,45.2,Low,Low,High,Low,ON,OFF
5.1,0.099,30.56,21.5,Low,Low,High,Low,ON,OFF
5.1,0.14,30.52,34.1,Low,Low,High,Low,ON,OFF
5.4,0.107,30.5,25.5,Low,Low,High,Low,ON,OFF
5.2,0.135,30.48,18.9,Low,Low,High,High,ON,OFF
5.0,0.093,30.42,38.9,Low,Low,High,Low,ON,OFF
5.1,0.114,30.4,31.2,Low,Low,High,Low,ON,OFF
5.6,0.162,30.24,40.8,Low,Low,High,Low,ON,OFF
5.5,0.139,30.22,42.2,Low,Low,High,Low,ON,OFF
5.1,0.104,29.99,37.2,Low,Low,High,Low,ON,OFF
5.4,0.036,29.86,29.1,Low,High,High,Low,ON,OFF
5.9,0.055,29.97,25.3,Low,Low,High,Low,ON,OFF
5.4,0.026,29.92,22.9,Low,High,High,Low,ON,OFF
5.8,0.129,29.73,44.1,Low,Low,High,Low,ON,OFF
6.0,0.088,29.66,20.4,Low,Low,High,Low,ON,OFF
5.9,0.155,29.58,25.2,Low,Low,High,Low,ON,OFF
5.9,0.128,29.36,35.9,Low,Low,High,Low,ON,OFF
5.7,0.15,29.18,35.5,Low,Low,High,Low,ON,OFF
5.9,0.152,29.17,34.7,Low,Low,High,Low,ON,OFF
6.4,0.148,28.96,35.1,Low,Low,High,Low,ON,OFF
6.1,0.058,28.85,39.9,Low,Low,High,Low,ON,OFF
6.5,0.041,28.8,29.8,High,High,High,Low,ON,OFF
6.4,0.139,28.62,18.2,Low,Low,High,High,ON,OFF
6.5,0.144,28.53,33.2,High,Low,High,Low,ON,OFF
6.6,0.143,28.35,24.4,High,Low,High,Low,ON,OFF
6.1,0.127,28.33,26.9,Low,Low,High,Low,ON,OFF
6.1,0.141,28.17,26.0,Low,Low,High,Low,ON,OFF
6.1,0.152,28.24,38.0,Low,Low,High,Low,ON,OFF
6.0,0.164,28.29,26.9,Low,Low,High,Low,ON,OFF
5.8,0.119,28.38,31.3,Low,Low,High,Low,ON,OFF
5.8,0.037,28.95,32.6,Low,High,High,Low,ON,OFF
6.7,0.098,28.99,17.9,High,Low,High,High,ON,OFF
6.5,0.048,29.06,26.9,High,High,High,Low,ON,OFF
6.3,0.143,29.16,34.9,Low,Low,High,Low,ON,OFF
6.1,0.029,29.26,19.6,Low,High,High,High,OFF,OFF
6.2,0.053,29.31,42.9,Low,Low,High,Low,ON,OFF
6.6,0.063,29.69,30.4,High,Low,High,Low,ON,OFF
6.4,0.031,29.83,39.1,Low,High,High,Low,ON,OFF
5.8,0.156,29.99,42.6,Low,Low,High,Low,ON,OFF
6.7,0.053,30.8,25.8,High,Low,High,Low,ON,OFF
5.8,0.054,31.35,38.5,Low,Low,High,Low,ON,OFF
6.5,0.095,31.4,20.1,High,Low,High,Low,ON,OFF
5.9,0.026,31.51,35.6,Low,High,High,Low,ON,OFF
6.6,0.093,31.66,40.7,High,Low,High,Low,ON,OFF
6.5,0.05,31.68,31.2,High,High,High,Low,ON,OFF
6.4,0.157,31.95,40.0,Low,Low,High,Low,ON,OFF
6.3,0.152,31.95,33.2,Low,Low,High,Low,ON,OFF
6.4,0.153,32.2,39.9,Low,Low,High,Low,ON,OFF
6.6,0.035,32.33,26.9,High,High,High,Low,ON,OFF
6.5,0.079,32.34,44.9,High,Low,High,Low,ON,OFF
6.4,0.079,32.63,17.5,Low,Low,High,High,ON,OFF
6.1,0.121,32.67,21.0,Low,Low,High,Low,ON,OFF
6.2,0.1,32.7,19.5,Low,Low,High,High,ON,OFF
6.2,0.094,32.96,18.9,Low,Low,High,High,ON,OFF
6.0,0.11,32.89,36.8,Low,Low,High,Low,ON,OFF
6.0,0.114,32.61,36.1,Low,Low,High,Low,ON,OFF
6.1,0.085,32.51,25.8,Low,Low,High,Low,ON,OFF
6.7,0.08,32.13,41.1,High,Low,High,Low,ON,OFF
6.6,0.073,32.07,40.1,High,Low,High,Low,ON,OFF
5.8,0.135,31.88,25.2,Low,Low,High,Low,ON,OFF
6.7,0.162,31.84,39.3,High,Low,High,Low,ON,OFF
6.2,0.023,31.77,27.3,Low,High,High,Low,ON,OFF
6.7,0.129,31.72,22.0,High,Low,High,Low,ON,OFF
6.7,0.089,31.72,39.5,High,Low,High,Low,ON,OFF
6.4,0.071,31.71,30.0,Low,Low,High,Low,ON,OFF
6.7,0.055,31.68,42.4,High,Low,High,Low,ON,OFF
5.9,0.052,31.4,41.5,Low,Low,High,Low,ON,OFF
6.2,0.098,31.31,40.7,Low,Low,High,Low,ON,OFF
5.9,0.132,31.21,45.0,Low,Low,High,Low,ON,OFF
5.8,0.023,30.83,40.7,Low,High,High,Low,ON,OFF
5.8,0.133,30.73,30.1,Low,Low,High,Low,ON,OFF
6.3,0.075,30.72,24.1,Low,Low,High,Low,ON,OFF
5.9,0.147,30.67,25.5,Low,Low,High,Low,ON,OFF
6.6,0.123,30.66,35.3,High,Low,High,Low,ON,OFF
6.0,0.136,30.54,35.4,Low,Low,High,Low,ON,OFF
6.5,0.146,30.5,22.0,High,Low,High,Low,ON,OFF
6.0,0.062,30.5,31.3,Low,Low,High,Low,ON,OFF
6.3,0.156,30.34,19.2,Low,Low,High,High,ON,OFF
6.1,0.087,30.34,43.9,Low,Low,High,Low,ON,OFF
6.5,0.109,30.2,24.1,High,Low,High,Low,ON,OFF
6.7,0.14,30.16,26.2,High,Low,High,Low,ON,OFF
6.3,0.119,30.08,40.6,Low,Low,High,Low,ON,OFF
6.2,0.149,30.04,27.9,Low,Low,High,Low,ON,OFF
6.0,0.054,30.39,27.0,Low,Low,High,Low,ON,OFF
6.0,0.051,30.33,41.0,Low,Low,High,Low,ON,OFF
6.5,0.153,30.32,27.1,High,Low,High,Low,ON,OFF
6.4,0.081,30.29,20.0,Low,Low,High,High,ON,OFF
5.9,0.021,30.18,27.3,Low,High,High,Low,ON,OFF
5.8,0.027,30.1,40.3,Low,High,High,Low,ON,OFF
6.2,0.147,30.01,18.8,Low,Low,High,High,ON,OFF
5.9,0.032,29.98,39.7,Low,High,High,Low,ON,OFF
6.0,0.088,29.82,27.8,Low,Low,High,Low,ON,OFF
6.5,0.142,29.65,29.4,High,Low,High,Low,ON,OFF
5.9,0.119,29.41,40.2,Low,Low,High,Low,ON,OFF
6.3,0.083,29.37,38.9,Low,Low,High,Low,ON,OFF
5.8,0.115,29.02,40.6,Low,Low,High,Low,ON,OFF
6.3,0.17,28.81,37.4,Low,Low,High,Low,ON,OFF
6.6,0.166,28.75,31.1,High,Low,High,Low,ON,OFF
5.8,0.137,28.55,38.3,Low,Low,High,Low,ON,OFF
6.2,0.084,28.53,32.0,Low,Low,High,Low,ON,OFF
6.3,0.031,28.72,42.8,Low,High,High,Low,ON,OFF
6.3,0.108,28.82,42.3,Low,Low,High,Low,ON,OFF
6.1,0.068,28.9,25.9,Low,Low,High,Low,ON,OFF
6.6,0.088,29.16,17.6,High,Low,High,High,ON,OFF
6.1,0.135,29.17,28.4,Low,Low,High,Low,ON,OFF
6.7,0.042,29.23,36.8,High,High,High,Low,ON,OFF
6.3,0.137,29.47,41.5,Low,Low,High,Low,ON,OFF
6.6,0.06,29.88,38.6,High,Low,High,Low,ON,OFF
6.6,0.103,29.93,26.3,High,Low,High,Low,ON,OFF
6.7,0.167,30.01,43.1,High,Low,High,Low,ON,OFF
5.9,0.149,30.15,42.8,Low,Low,High,Low,ON,OFF
6.7,0.122,30.79,43.7,High,Low,High,Low,ON,OFF
6.6,0.094,30.84,35.4,High,Low,High,Low,ON,OFF
5.9,0.119,30.96,24.9,Low,Low,High,Low,ON,OFF
6.1,0.067,31.49,41.7,Low,Low,High,Low,ON,OFF
5.8,0.064,31.73,36.7,Low,Low,High,Low,ON,OFF
6.4,0.163,32.11,31.3,Low,Low,High,Low,ON,OFF
6.1,0.09,32.59,18.0,Low,Low,High,High,ON,OFF
6.5,0.11,32.63,23.1,High,Low,High,Low,ON,OFF
6.4,0.096,33.13,32.2,Low,Low,High,Low,ON,OFF
6.6,0.113,33.45,38.6,High,Low,High,Low,ON,OFF
6.1,0.169,33.47,36.7,Low,Low,High,Low,ON,OFF
6.4,0.09,33.72,42.4,Low,Low,High,Low,ON,OFF
5.9,0.112,33.73,26.3,Low,Low,High,Low,ON,OFF
5.9,0.083,33.77,22.0,Low,Low,High,Low,ON,OFF
5.9,0.057,33.94,39.8,Low,Low,High,Low,ON,OFF
6.1,0.118,33.62,39.6,Low,Low,High,Low,ON,OFF
6.6,0.152,33.6,29.5,High,Low,High,Low,ON,OFF
6.5,0.022,33.2,18.0,High,High,High,High,OFF,OFF
6.6,0.141,33.13,32.3,High,Low,High,Low,ON,OFF
6.1,0.137,33.12,35.3,Low,Low,High,Low,ON,OFF
6.4,0.111,33.1,38.4,Low,Low,High,Low,ON,OFF
5.9,0.145,33.01,27.1,Low,Low,High,Low,ON,OFF
6.1,0.141,32.94,26.5,Low,Low,High,Low,ON,OFF
6.0,0.104,32.89,23.6,Low,Low,High,Low,ON,OFF
6.3,0.129,32.88,30.9,Low,Low,High,Low,ON,OFF
