PH,AMMONIA,TEMP,DO,TURBIDITY
5.2,0.052,25.93,6.7,38.5
5.9,0.081,25.82,8.2,13.9
5.0,0.038,25.74,8.0,39.9
5.2,0.106,25.72,6.9,23.5
5.7,0.052,25.66,8.2,21.3
5.1,0.025,25.32,7.5,24.9
5.5,0.067,25.29,7.9,34.1
5.0,0.076,25.29,8.0,21.6
6.0,0.073,25.27,8.3,40.1
5.6,0.07,25.18,7.8,22.9
5.5,0.032,24.75,7.4,18.4
5.3,0.087,24.39,7.3,38.1
5.2,0.064,24.16,7.6,27.8
5.0,0.045,24.14,6.5,11.1
5.3,0.025,24.83,7.5,15.8
5.4,0.089,25.03,6.6,22.6
5.2,0.069,25.1,6.8,35.5
5.1,0.039,25.2,7.1,10.4
5.6,0.113,25.32,6.8,17.0
5.6,0.07,25.44,7.8,18.9
6.0,0.018,25.55,7.6,18.3
5.3,0.014,25.58,8.4,19.3
5.1,0.041,25.63,8.4,24.8
5.0,0.077,25.93,6.6,38.4
5.6,0.047,27.37,6.5,26.1
5.8,0.119,27.49,8.0,11.8
5.6,0.114,27.63,6.7,11.6
5.7,0.096,28.55,7.6,21.6
5.7,0.112,28.71,7.8,30.4
5.6,0.102,29.51,6.5,37.0
5.9,0.035,29.52,7.5,38.0
5.1,0.035,29.83,8.0,19.7
6.0,0.105,30.16,7.4,33.6
5.2,0.118,30.41,7.0,33.1
5.9,0.092,30.47,7.0,12.4
5.8,0.086,30.66,7.8,29.1
6.0,0.022,30.66,8.0,39.4
6.0,0.019,30.67,7.3,13.7
5.7,0.113,30.85,8.2,14.0
5.5,0.048,31.0,7.2,23.0
5.9,0.012,31.1,7.4,28.5
5.2,0.034,31.1,8.2,31.3
5.8,0.106,30.82,7.6,34.2
5.7,0.062,30.64,7.5,31.7
5.0,0.02,30.47,7.9,36.0
5.4,0.058,30.46,7.2,24.6
5.1,0.09,30.46,8.1,27.2
5.5,0.084,30.35,6.6,11.3
5.7,0.044,30.3,8.2,20.2
5.6,0.023,30.1,7.8,28.9
5.9,0.07,29.98,8.3,12.6
5.2,0.079,29.55,7.0,18.2
6.0,0.081,29.54,7.6,13.3
5.9,0.109,29.48,7.9,13.2
5.0,0.075,29.46,7.1,16.6
5.5,0.013,28.88,7.2,24.2
5.2,0.076,28.8,7.5,28.9
5.4,0.018,28.56,6.8,31.9
5.7,0.032,28.52,7.9,15.5
5.6,0.087,28.36,7.5,36.6
5.1,0.104,28.35,7.6,21.7
5.8,0.085,27.96,6.7,21.9
5.5,0.099,27.96,8.5,22.0
5.9,0.079,27.9,6.6,22.5
5.8,0.082,27.85,7.8,20.3
5.2,0.029,27.35,7.9,20.9
6.0,0.05,26.87,7.3,32.4
5.3,0.104,26.83,7.6,11.0
5.7,0.107,26.64,8.2,37.4
5.1,0.067,26.31,8.5,19.7
5.7,0.062,26.29,7.6,15.8
5.1,0.037,25.84,7.3,31.6
5.4,0.049,25.6,7.9,26.8
5.0,0.038,25.6,7.8,27.0
5.7,0.09,25.57,7.4,24.8
5.2,0.069,25.5,7.9,24.2
5.6,0.094,25.39,8.4,23.1
6.0,0.105,25.36,8.1,13.7
5.1,0.065,25.33,7.8,12.5
5.9,0.104,25.33,7.7,23.8
5.4,0.107,25.01,7.9,23.5
5.9,0.027,25.0,8.5,20.3
6.0,0.097,24.45,8.0,21.5
5.9,0.085,24.31,8.4,12.4
6.0,0.087,24.2,7.8,16.3
5.8,0.03,24.19,7.9,11.3
6.0,0.03,25.06,7.7,29.6
5.6,0.027,25.1,7.8,31.8
6.0,0.053,25.25,8.2,19.1
5.8,0.102,25.99,7.7,24.1
5.3,0.083,26.3,6.8,35.9
6.0,0.101,26.56,7.7,21.0
5.4,0.093,26.6,7.9,20.3
5.1,0.017,27.1,6.9,29.6
5.1,0.096,27.41,8.1,37.5
5.8,0.034,27.85,7.7,19.1
6.0,0.114,28.38,7.3,25.6
5.6,0.02,28.41,7.9,25.0
5.1,0.035,28.64,8.4,30.4
5.0,0.106,28.74,8.1,20.4
6.0,0.022,29.25,8.0,28.2
5.4,0.068,29.29,7.0,26.4
6.0,0.083,29.37,6.7,20.4
5.0,0.036,29.41,7.4,39.1
6.0,0.104,29.48,8.5,37.9
5.8,0.027,29.48,8.0,15.5
5.5,0.098,29.7,6.6,22.0
5.7,0.015,30.21,6.5,16.7
5.4,0.118,30.51,7.6,29.2
5.7,0.032,30.69,6.8,22.5
5.7,0.045,30.78,7.7,36.7
5.7,0.057,30.86,6.6,22.2
5.5,0.042,30.82,6.5,39.7
5.6,0.044,30.78,7.2,19.7
5.2,0.078,30.66,6.5,12.3
5.4,0.084,30.65,7.3,14.1
5.0,0.024,30.33,7.9,32.7
5.7,0.037,30.12,7.5,35.7
5.3,0.069,30.1,7.6,36.5
5.7,0.058,30.06,6.8,17.3
5.4,0.068,30.05,7.5,15.5
5.1,0.086,29.91,6.9,37.5
5.5,0.097,29.84,6.8,11.7
5.0,0.089,29.74,7.5,34.5
6.0,0.098,29.36,8.4,15.7
5.1,0.095,29.18,7.7,36.2
5.3,0.058,29.03,6.9,12.7
5.0,0.07,28.99,6.6,10.7
6.0,0.036,28.95,6.8,23.8
5.8,0.054,28.63,8.4,18.9
5.7,0.021,28.4,7.4,33.2
5.6,0.107,28.05,8.0,12.6
5.4,0.07,27.95,7.9,24.9
5.9,0.092,27.85,7.0,34.6
5.7,0.112,27.63,8.4,12.2
5.4,0.064,27.14,8.0,19.0
5.6,0.048,26.98,6.6,31.9
6.0,0.013,26.89,7.0,22.7
5.5,0.039,26.68,7.9,12.1
5.6,0.048,26.47,6.8,15.2
5.5,0.101,26.42,8.2,36.3
5.6,0.069,26.39,6.9,29.6
6.0,0.02,27.11,8.4,26.8
5.3,0.118,27.06,6.9,39.2
5.7,0.069,27.0,7.4,38.6
5.0,0.073,26.95,7.7,34.2
5.7,0.106,26.94,7.7,17.4
5.1,0.095,26.92,7.7,27.3
5.1,0.011,26.72,6.5,28.9
5.5,0.083,26.35,8.2,15.5
5.9,0.023,26.26,6.6,16.1
5.1,0.018,26.25,7.0,31.6
5.2,0.093,25.97,7.2,20.6
6.0,0.059,25.8,6.7,26.1
5.0,0.065,25.74,8.1,33.7
5.0,0.107,25.6,7.6,12.8
5.6,0.081,25.49,6.5,17.9
5.9,0.024,25.33,7.1,18.5
5.2,0.095,24.01,7.6,36.6
5.8,0.051,24.05,7.1,39.1
5.9,0.108,24.07,7.4,27.3
5.7,0.023,24.37,7.1,32.9
5.5,0.117,24.74,8.4,30.1
5.1,0.063,24.9,6.5,28.9
5.8,0.118,25.63,8.2,32.0
5.7,0.049,25.93,8.3,36.7
5.6,0.097,26.43,6.6,36.3
5.8,0.022,26.61,8.4,24.7
5.2,0.049,26.63,6.5,22.0
5.7,0.089,26.85,7.9,25.1
5.3,0.088,27.04,7.5,21.7
5.6,0.111,27.15,7.8,17.3
5.7,0.079,27.55,7.3,32.5
5.3,0.103,28.85,8.5,14.5
5.3,0.057,29.03,7.9,31.3
5.6,0.084,29.63,7.0,15.3
5.2,0.031,29.65,6.6,26.4
5.4,0.048,29.73,7.8,14.1
5.0,0.111,29.73,6.5,17.7
5.4,0.113,29.96,6.5,37.1
5.5,0.108,30.18,6.8,27.3
5.7,0.016,30.31,8.4,25.1
5.2,0.068,30.46,8.4,27.7
5.6,0.072,30.83,7.1,21.3
6.0,0.117,31.89,7.9,31.5
5.3,0.086,31.67,7.5,17.6
6.0,0.018,31.49,7.9,16.6
5.9,0.027,31.34,6.9,33.1
6.0,0.08,31.11,6.7,29.5
5.3,0.072,30.96,7.4,29.6
5.3,0.114,30.65,7.7,20.5
5.3,0.072,30.56,7.2,18.3
5.1,0.025,30.47,8.5,25.0
5.7,0.102,30.39,7.5,16.7
5.6,0.024,30.31,8.3,20.5
5.3,0.016,30.18,7.0,17.4
5.1,0.037,30.0,6.6,35.0
5.9,0.021,29.96,7.3,23.1
5.5,0.086,29.95,7.7,26.0
5.4,0.019,29.8,7.5,24.6
5.3,0.029,29.28,7.6,11.3
6.0,0.013,29.13,7.4,30.3
5.1,0.037,28.97,6.9,37.3
5.4,0.032,28.86,8.1,17.1
5.6,0.104,28.49,7.6,19.6
5.2,0.019,28.19,8.3,21.0
5.8,0.116,28.18,8.2,29.1
5.2,0.019,28.01,7.6,32.8
5.6,0.037,27.97,7.9,33.7
5.9,0.016,27.91,7.4,27.2
5.4,0.06,27.71,6.5,16.4
5.1,0.105,27.66,7.2,10.2
5.6,0.083,27.52,6.7,36.7
5.5,0.11,27.4,8.2,31.8
5.9,0.113,27.55,8.0,13.4
5.2,0.066,27.53,8.5,13.1
5.4,0.035,27.49,7.3,19.6
5.1,0.085,27.27,7.5,31.5
5.9,0.018,27.27,6.7,20.0
5.0,0.038,26.95,6.7,24.8
5.7,0.012,26.78,6.6,34.2
5.5,0.065,26.69,7.0,18.9
5.3,0.092,26.44,8.1,16.0
5.7,0.07,26.06,7.0,28.2
5.0,0.037,25.93,6.6,30.4
5.5,0.045,25.59,6.7,15.3
5.5,0.088,25.43,8.1,16.4
5.0,0.091,25.26,8.3,32.7
5.3,0.079,25.23,7.2,17.6
5.7,0.039,25.04,7.9,14.6
5.1,0.101,24.23,6.7,33.6
5.3,0.117,24.67,6.9,24.6
5.5,0.087,24.72,7.7,19.2
5.7,0.07,24.82,6.9,11.7
5.0,0.075,24.91,6.9,30.8
5.6,0.038,25.0,7.4,12.2
5.7,0.067,25.19,7.1,26.9
6.0,0.08,25.49,7.1,39.4
5.1,0.057,25.63,7.7,36.2
5.3,0.047,25.83,6.8,23.8
5.3,0.063,25.98,8.4,16.1
5.8,0.076,25.99,7.7,19.8
5.4,0.065,26.16,8.3,38.5
5.3,0.03,26.63,7.6,23.7
5.4,0.116,26.95,7.1,38.6
5.8,0.107,26.99,8.2,30.6
5.0,0.013,27.57,8.1,32.7
5.1,0.084,27.7,8.0,17.0
5.7,0.052,28.77,8.2,16.0
6.0,0.037,29.01,7.9,16.7
5.8,0.088,29.02,8.4,24.9
5.3,0.116,29.07,7.9,14.7
5.9,0.069,29.18,7.9,13.3
5.9,0.06,29.26,8.5,26.3
5.4,0.049,29.36,7.1,31.4
5.9,0.088,30.22,8.5,37.0
5.7,0.12,31.87,8.1,22.2
5.5,0.05,31.83,7.6,11.9
6.0,0.022,31.43,8.0,35.9
6.0,0.103,31.4,8.0,32.2
5.4,0.018,31.37,6.7,36.8
6.0,0.039,31.23,7.8,25.2
5.9,0.094,31.07,8.0,14.7
5.6,0.086,30.9,8.3,22.4
5.0,0.102,30.87,7.9,23.7
5.4,0.104,30.7,6.7,12.1
5.3,0.024,30.61,7.7,25.1
6.0,0.079,30.41,8.2,20.6
6.0,0.079,30.26,7.2,18.6
6.0,0.033,30.02,7.7,13.3
5.0,0.027,29.7,7.3,33.8
5.2,0.029,29.51,7.5,16.9
5.4,0.039,29.43,8.3,18.0
5.6,0.114,29.34,6.6,40.1
5.9,0.011,28.82,7.8,34.6
5.4,0.113,28.79,6.7,22.2
6.0,0.091,28.75,7.0,32.8
6.0,0.02,28.48,8.4,36.0
5.8,0.012,28.41,7.3,34.1
5.9,0.055,28.3,7.6,12.6
5.2,0.037,28.0,6.9,13.1
5.0,0.033,27.95,7.0,18.1
5.1,0.11,27.92,7.3,12.5
5.8,0.062,27.81,6.9,33.1
5.6,0.116,27.62,7.1,35.6
5.3,0.095,27.58,8.1,23.1
5.4,0.065,27.12,6.7,29.4
6.0,0.032,27.03,7.9,13.8
5.5,0.061,26.78,7.9,10.2
6.0,0.078,26.69,7.0,24.4
5.0,0.084,26.63,7.2,15.7
5.8,0.044,26.47,7.3,10.2
5.7,0.12,26.43,7.0,23.6
5.1,0.12,26.42,7.1,38.0
5.9,0.036,26.28,6.7,38.4
5.9,0.02,25.99,8.1,28.7
5.1,0.117,25.71,7.6,25.7
5.1,0.109,25.66,7.8,39.7
5.9,0.09,25.64,8.3,29.9
5.0,0.025,25.3,7.9,24.1
5.7,0.067,25.18,6.5,26.2
5.8,0.052,25.15,6.5,11.6
6.0,0.031,25.09,7.5,34.3
5.3,0.044,25.29,7.8,12.0
5.3,0.017,25.29,6.7,32.4
5.8,0.11,25.35,8.1,34.5
5.6,0.057,25.43,8.0,36.0
5.3,0.086,25.47,7.5,18.8
5.6,0.011,25.66,6.6,14.8
5.3,0.062,25.79,6.6,37.9
5.2,0.084,26.5,8.5,31.9
5.7,0.106,26.59,7.0,26.9
5.5,0.071,27.07,7.0,25.7
5.4,0.105,27.18,8.4,32.1
5.8,0.08,27.57,6.6,30.7
5.2,0.034,27.87,7.6,38.9
5.8,0.11,28.35,7.8,33.9
5.6,0.017,28.58,8.5,38.9
5.8,0.077,28.65,6.8,21.0
6.0,0.019,28.84,7.8,14.6
5.1,0.04,28.84,6.8,37.9
5.8,0.085,28.87,6.5,25.8
5.1,0.068,29.74,7.5,26.1
6.0,0.116,30.65,7.5,20.1
5.1,0.072,30.7,7.5,10.5
5.6,0.113,30.82,7.6,32.7
5.5,0.093,30.87,7.0,14.4
5.1,0.065,30.96,8.0,34.3
5.4,0.068,31.84,7.9,19.5
5.1,0.046,31.75,6.8,35.1
5.5,0.097,31.74,8.2,33.5
5.4,0.119,31.74,8.3,14.4
5.1,0.032,31.53,8.4,15.1
5.0,0.022,31.49,8.1,27.5
5.4,0.083,31.33,6.6,27.6
5.0,0.065,30.42,8.2,24.8
5.2,0.1,30.24,8.0,14.3
5.7,0.059,30.22,6.9,11.0
5.2,0.116,30.17,8.0,25.8
5.1,0.095,29.92,6.8,33.7
5.1,0.015,29.79,8.5,20.1
5.6,0.084,29.69,8.0,21.4
5.8,0.11,29.42,6.6,39.3
5.5,0.083,29.07,7.9,14.7
5.3,0.092,28.94,7.6,27.1
5.4,0.046,28.56,8.3,15.7
5.7,0.096,28.52,6.8,36.8
5.9,0.102,28.47,8.4,40.2
5.6,0.096,28.35,7.6,22.2
5.9,0.044,28.35,8.4,19.9
5.2,0.093,28.21,6.6,18.4
5.4,0.058,28.12,6.5,36.2
5.1,0.036,28.01,8.4,28.3
5.8,0.094,27.96,6.6,36.5
5.0,0.042,27.89,7.0,34.5
5.0,0.097,27.39,7.3,29.7
5.6,0.113,27.37,8.3,19.7
5.7,0.106,27.31,6.8,28.1
5.1,0.051,27.76,8.0,38.1
5.8,0.11,27.62,7.6,18.4
5.0,0.091,27.55,7.3,12.0
5.3,0.085,27.34,7.0,25.4
5.0,0.111,27.06,6.5,25.9
5.6,0.035,26.95,8.5,29.9
5.3,0.111,26.68,7.2,20.4
5.5,0.04,26.62,8.2,18.9
5.8,0.058,26.38,6.7,23.2
5.6,0.048,26.08,8.4,29.0
5.4,0.035,25.89,7.1,13.9
5.1,0.053,25.69,7.1,39.1
5.8,0.04,25.64,8.0,37.9
5.2,0.018,25.37,7.6,28.7
5.1,0.087,25.15,6.8,30.5
5.3,0.075,25.12,7.3,14.8
5.0,0.052,25.28,7.5,12.9
5.9,0.042,25.55,8.4,25.5
5.3,0.028,25.72,8.1,14.8
5.4,0.109,25.77,7.3,35.9
5.2,0.118,26.13,7.6,25.1
5.0,0.099,26.74,8.2,18.5
6.0,0.031,27.0,8.0,24.5
5.7,0.062,27.01,7.0,37.9
5.8,0.111,27.09,6.8,29.6
5.4,0.035,27.28,7.3,23.3
5.1,0.096,27.62,8.0,24.6
5.7,0.093,27.79,7.3,27.1
6.0,0.096,28.12,6.7,36.7
5.8,0.109,28.19,8.0,24.3
5.5,0.069,28.51,7.0,14.9
5.8,0.066,28.76,7.5,21.5
5.1,0.081,28.78,7.6,26.4
5.3,0.052,29.02,6.8,21.7
5.2,0.102,29.2,7.7,27.8
5.8,0.118,29.29,7.9,31.0
5.4,0.08,29.49,8.4,25.5
5.3,0.045,29.67,6.5,27.9
5.6,0.089,29.77,7.7,15.0
5.4,0.101,29.91,6.8,11.7
5.0,0.068,30.19,8.2,31.2
6.0,0.053,30.41,7.2,38.4
5.1,0.042,31.64,6.9,21.0
5.1,0.095,31.59,6.6,22.8
5.4,0.085,31.23,8.2,33.4
5.4,0.093,30.86,6.9,10.6
5.6,0.084,30.74,6.7,23.2
5.1,0.022,30.56,7.4,24.3
5.4,0.096,30.53,7.8,32.9
5.6,0.035,30.5,7.1,21.3
5.6,0.04,30.27,7.7,16.6
5.1,0.098,30.24,8.3,17.3
6.0,0.021,29.87,7.7,37.9
6.0,0.114,29.76,7.8,38.3
5.9,0.027,29.73,7.6,29.4
5.2,0.031,29.72,7.6,31.6
5.8,0.074,29.67,8.2,28.2
5.8,0.108,29.45,7.3,26.8
5.4,0.115,29.44,8.1,27.3
6.0,0.03,29.24,8.0,21.2
5.2,0.027,29.06,7.8,29.1
5.1,0.066,28.78,6.5,17.7
5.5,0.069,28.75,7.0,14.8
5.6,0.096,28.7,6.7,21.8
5.4,0.106,28.59,7.5,35.8
5.7,0.034,28.54,6.9,14.8
5.6,0.057,28.25,7.0,25.2
5.9,0.039,28.22,6.8,24.5
5.0,0.035,28.2,8.2,31.6
5.2,0.01,28.11,6.5,15.0
5.1,0.103,27.93,7.6,19.8
5.5,0.054,27.87,6.7,11.6
5.4,0.07,27.0,7.5,35.6
5.8,0.109,26.93,8.2,36.6
5.3,0.054,26.75,8.3,36.6
5.2,0.044,26.58,7.5,33.6
5.5,0.036,26.48,7.2,26.7
5.2,0.049,26.46,7.2,25.5
5.2,0.021,26.35,8.5,16.0
5.8,0.047,26.33,8.1,12.5
5.9,0.072,26.2,6.6,38.4
5.4,0.05,25.74,7.4,11.1
5.0,0.045,25.66,7.5,25.8
5.9,0.101,25.58,8.3,23.9
6.0,0.02,25.37,6.6,15.6
5.0,0.088,25.18,7.6,32.0
5.4,0.026,25.09,6.8,23.7
5.2,0.087,25.08,6.5,21.3
5.5,0.061,25.07,7.8,25.5
5.7,0.07,25.34,7.8,28.1
5.5,0.038,25.69,7.2,11.0
5.3,0.091,25.92,8.0,29.6
5.5,0.023,26.18,7.1,30.3
5.7,0.064,26.35,7.7,37.9
5.8,0.098,26.51,6.8,37.4
5.2,0.119,26.52,7.4,30.1
5.4,0.076,26.61,7.3,37.5
5.6,0.117,26.74,6.9,24.0
5.2,0.038,27.09,8.1,19.4
5.9,0.12,27.38,7.6,17.3
5.8,0.093,27.81,6.8,28.0
5.9,0.115,27.84,7.9,36.6
5.2,0.056,28.11,6.5,34.2
5.9,0.085,28.18,7.4,24.6
5.1,0.084,29.13,8.5,11.7
5.8,0.119,29.49,6.8,20.8
5.5,0.065,29.54,7.2,39.6
5.9,0.087,29.68,8.1,31.8
5.5,0.025,29.69,7.1,30.3
5.0,0.07,30.31,8.2,13.9
5.6,0.086,30.35,7.2,14.4
5.3,0.114,30.74,6.8,23.2
5.8,0.016,30.81,7.3,32.6
6.0,0.083,30.87,7.5,20.5
5.8,0.042,31.87,8.2,16.8
5.3,0.035,31.86,8.1,14.7
5.7,0.091,31.8,6.6,17.3
6.0,0.02,30.8,8.3,12.8
5.1,0.106,30.76,6.6,37.7
5.3,0.08,30.58,6.6,14.5
5.1,0.082,30.31,7.2,23.7
5.1,0.071,30.22,8.0,29.0
6.0,0.111,30.21,7.5,16.8
5.6,0.092,30.0,8.2,11.0
5.7,0.108,29.82,7.8,34.0
5.0,0.105,29.65,7.7,10.3
5.6,0.047,29.36,7.8,30.7
5.9,0.1,29.31,7.2,19.6
5.3,0.013,29.14,7.7,10.2
5.1,0.038,28.93,7.2,18.7
5.9,0.094,28.08,8.2,37.5
5.2,0.03,28.05,7.9,30.5
5.4,0.115,28.02,8.3,27.4
5.8,0.105,27.99,6.8,18.9
5.9,0.075,27.99,7.5,20.3
5.6,0.013,27.89,7.0,26.7
5.4,0.109,27.78,6.9,10.7
5.1,0.033,27.65,6.9,13.0
5.0,0.096,27.49,8.1,37.8
5.8,0.096,27.42,6.7,30.2
5.2,0.11,27.4,7.0,12.5
5.9,0.072,27.4,6.7,25.4
5.6,0.07,27.34,7.4,38.4
5.4,0.025,27.31,8.0,11.8
5.3,0.049,28.22,7.7,27.3
5.2,0.124,28.13,6.9,42.5
5.4,0.085,27.7,6.8,25.0
5.8,0.087,27.59,7.7,19.5
6.0,0.075,27.56,7.6,32.2
5.6,0.096,27.48,7.1,27.7
5.1,0.163,27.42,7.2,43.1
5.0,0.159,27.3,8.5,37.1
5.9,0.105,27.3,7.6,36.3
5.2,0.104,27.3,6.9,36.9
5.7,0.151,27.25,7.0,25.1
5.1,0.152,27.21,8.1,27.7
5.7,0.153,27.18,6.9,18.6
5.1,0.029,27.11,8.2,40.2
5.0,0.065,27.06,8.5,29.5
5.1,0.095,27.02,7.5,38.1
5.6,0.049,27.09,8.3,35.6
5.6,0.074,27.24,7.6,45.0
5.9,0.153,27.41,6.6,30.2
5.8,0.16,27.42,8.1,38.8
5.8,0.064,27.72,7.1,37.4
5.6,0.168,27.77,6.5,36.4
5.3,0.152,28.22,8.2,38.9
5.6,0.167,28.24,7.2,21.1
5.4,0.108,28.27,7.8,44.6
5.4,0.081,28.37,8.1,41.1
5.6,0.046,28.6,8.2,22.8
5.8,0.114,28.67,7.0,28.2
5.7,0.148,28.93,7.8,29.3
5.2,0.109,29.28,8.1,35.3
5.5,0.148,29.33,6.8,36.5
5.8,0.115,29.4,7.2,42.5
5.9,0.108,29.45,7.9,29.7
5.4,0.046,29.53,8.5,40.5
5.2,0.075,29.59,7.0,38.3
5.7,0.127,30.02,7.3,28.0
5.2,0.048,30.19,7.6,28.7
5.2,0.023,30.42,8.1,22.7
5.6,0.076,30.44,7.9,24.0
6.0,0.141,30.59,7.0,25.2
5.6,0.095,30.74,7.1,26.1
5.2,0.048,30.8,8.3,27.8
6.0,0.07,30.99,6.9,32.9
5.8,0.058,30.9,8.1,19.5
5.0,0.131,30.84,8.4,19.4
5.6,0.17,30.7,7.6,24.5
5.6,0.035,30.44,8.4,17.8
5.3,0.092,30.38,6.6,38.1
6.0,0.108,30.31,6.9,33.5
5.4,0.05,30.19,7.4,34.5
5.7,0.082,30.09,7.5,25.2
5.6,0.112,29.93,7.8,37.8
5.0,0.14,29.8,7.8,40.0
5.1,0.047,29.74,6.7,35.6
5.2,0.112,29.7,8.2,25.4
5.9,0.144,29.7,8.0,18.3
5.1,0.033,29.69,7.3,42.4
6.0,0.098,29.69,8.1,44.9
5.6,0.061,29.63,8.4,43.6
6.0,0.167,29.47,8.1,32.9
5.0,0.056,29.47,7.7,29.2
5.1,0.064,29.37,7.0,41.3
5.0,0.097,29.29,7.6,31.9
5.9,0.035,29.07,7.1,29.3
6.0,0.106,29.04,7.8,28.0
5.0,0.071,29.03,8.4,24.8
5.4,0.035,28.98,8.0,33.9
6.0,0.113,28.85,7.8,28.4
5.5,0.073,28.74,8.2,43.7
5.2,0.099,28.72,7.7,35.6
5.0,0.118,28.59,8.3,27.1
6.0,0.133,28.31,7.2,19.3
5.2,0.149,28.14,7.3,43.7
5.8,0.026,28.05,6.5,42.5
5.3,0.166,28.0,7.4,41.2
5.7,0.129,27.84,6.7,40.6
5.7,0.032,27.82,7.9,38.9
5.3,0.163,27.79,7.9,44.1
5.7,0.087,26.92,8.0,40.4
5.0,0.054,26.9,7.2,28.9
5.4,0.019,26.71,7.4,30.0
5.2,0.146,26.68,6.6,40.6
5.2,0.13,26.66,8.3,31.6
5.9,0.042,26.52,7.3,27.9
5.3,0.063,26.37,7.3,30.4
5.8,0.124,26.24,8.0,41.3
5.4,0.081,26.01,7.5,18.0
5.2,0.034,26.01,7.5,33.0
5.7,0.084,27.06,8.5,30.7
5.3,0.077,27.44,7.7,28.6
5.2,0.066,27.61,8.3,23.9
5.6,0.086,27.87,8.0,21.8
5.6,0.103,28.4,7.2,40.2
5.0,0.089,28.67,6.5,17.6
5.4,0.096,29.17,8.1,19.6
5.3,0.151,29.4,7.1,17.9
5.1,0.061,29.43,6.6,35.2
5.1,0.167,29.54,7.9,30.2
5.1,0.13,29.64,8.3,21.6
5.0,0.103,29.69,6.8,36.1
5.7,0.168,29.74,6.7,17.6
5.8,0.032,29.78,8.4,43.2
5.8,0.094,29.81,8.0,44.1
5.4,0.14,30.09,7.8,33.8
5.7,0.114,30.18,8.4,36.7
5.3,0.023,30.4,7.2,43.8
5.8,0.115,30.44,8.5,21.3
5.7,0.054,31.03,8.4,41.0
5.6,0.046,31.17,8.3,33.9
5.2,0.028,31.45,6.9,19.0
5.9,0.127,31.55,6.8,34.4
5.9,0.152,31.56,7.1,33.6
5.7,0.146,31.86,6.9,18.6
5.8,0.03,31.96,7.0,42.8
5.9,0.132,30.89,7.4,34.2
5.7,0.073,30.76,7.8,32.2
5.7,0.127,30.75,6.8,31.6
5.5,0.074,30.61,6.5,34.3
5.7,0.116,30.38,7.6,30.3
5.0,0.088,30.22,7.4,38.0
5.7,0.146,30.09,8.5,31.5
5.4,0.065,29.9,7.5,32.9
5.0,0.167,29.88,8.4,37.0
5.0,0.142,29.82,7.6,18.8
5.8,0.063,29.63,7.8,43.0
5.7,0.166,29.52,6.6,42.8
5.9,0.035,29.5,7.7,28.1
5.9,0.152,29.48,8.5,43.3
6.0,0.076,29.39,8.1,44.5
5.8,0.027,29.25,8.5,42.6
5.5,0.146,29.24,7.1,22.0
5.7,0.104,29.18,7.0,30.0
5.1,0.104,29.18,7.7,38.4
5.6,0.146,29.16,8.0,36.6
5.3,0.161,29.14,6.8,42.2
6.0,0.062,29.06,7.7,24.9
6.0,0.129,29.05,8.4,31.0
5.2,0.15,29.01,7.4,22.1
5.1,0.136,29.01,7.5,43.1
5.6,0.081,28.69,6.9,30.2
5.3,0.109,28.62,7.3,27.6
5.6,0.122,28.43,8.1,44.8
6.0,0.036,28.36,7.3,43.4
5.0,0.028,28.24,6.8,29.9
6.0,0.106,28.04,7.5,24.7
5.1,0.139,27.95,7.2,23.4
5.8,0.159,27.9,8.3,21.9
5.4,0.136,27.9,8.1,21.9
5.0,0.166,27.84,7.0,28.3
5.1,0.114,27.71,7.0,28.0
5.7,0.13,27.68,7.8,33.5
5.9,0.025,27.62,7.5,31.7
5.7,0.045,27.6,8.5,34.6
5.2,0.046,27.55,8.4,37.6
5.8,0.156,27.23,8.3,37.0
6.0,0.051,27.02,6.9,39.8
5.6,0.134,26.9,7.9,29.2
5.1,0.141,26.72,8.3,34.5
5.7,0.039,26.7,7.9,41.4
5.0,0.142,26.51,7.6,35.7
6.0,0.158,27.04,7.8,36.5
5.3,0.139,27.54,7.1,26.6
6.0,0.022,27.6,6.5,28.8
5.6,0.13,27.81,7.1,27.9
5.8,0.03,27.83,8.0,37.2
5.9,0.02,28.0,6.9,38.2
5.4,0.129,28.05,8.5,17.4
5.5,0.054,28.16,7.3,36.6
5.4,0.076,28.29,7.7,19.5
5.1,0.153,28.37,8.1,26.9
6.0,0.08,28.53,6.7,18.3
5.7,0.094,28.57,6.5,40.3
5.0,0.056,28.58,8.5,28.8
5.1,0.083,28.6,7.8,23.3
5.5,0.065,28.75,8.0,30.5
5.9,0.045,28.87,7.9,41.1
5.8,0.1,29.05,8.5,44.5
5.3,0.146,29.15,6.7,44.5
5.8,0.097,29.19,7.0,44.5
5.0,0.061,29.34,7.4,35.5
5.3,0.021,29.8,7.6,45.1
5.4,0.136,30.05,7.7,37.7
6.0,0.135,30.38,6.8,28.7
5.9,0.038,30.47,8.2,33.6
5.3,0.038,30.55,6.8,36.0
5.9,0.13,30.72,8.3,34.2
5.7,0.035,30.84,7.5,19.2
5.7,0.094,30.75,6.9,34.4
5.8,0.155,30.6,7.6,42.4
5.8,0.113,30.45,8.2,44.7
5.0,0.065,30.37,8.1,20.5
5.0,0.089,30.31,7.3,24.6
5.4,0.104,30.21,6.8,42.1
6.0,0.155,30.21,7.3,38.1
5.4,0.165,29.95,8.4,39.9
5.3,0.133,29.86,7.7,37.9
